Listening on 0.0.0.0:10001...
DEBUG: socketSocket.fd = 3
⭕ The root node has connected
⭕ nNodes: 2
⭕ NodeIndex: 1
⭕ Socket[0]: accepted root node
⭕ Worker[1]: expecting 0 peer workers
⭕ Worker[1]: config received, sending initial ACK to root
⭕ Worker[1]: waiting root-ready ACK
⭕ Worker[1]: root-ready ACK received
⭕ Network is initialized
📀 RequiredMemory: 695 MB
🧠 CPU: neon fp16
💿 Loaded         block_matmul_q   0,         1152 kB
💿 Loaded         block_matmul_k   0,          288 kB
💿 Loaded         block_matmul_v   0,          288 kB
💿 Loaded        block_matmul_wo   0,         1152 kB
💿 Loaded        block_matmul_w1   0,         4608 kB
💿 Loaded        block_matmul_w2   0,         4608 kB
💿 Loaded        block_matmul_w3   0,         4608 kB
💿 Loaded           block_norm_0   0,            8 kB
💿 Loaded           block_norm_1   0,            8 kB
💿 Loaded         block_matmul_q   1,         1152 kB
💿 Loaded         block_matmul_k   1,          288 kB
💿 Loaded         block_matmul_v   1,          288 kB
💿 Loaded        block_matmul_wo   1,         1152 kB
💿 Loaded        block_matmul_w1   1,         4608 kB
💿 Loaded        block_matmul_w2   1,         4608 kB
💿 Loaded        block_matmul_w3   1,         4608 kB
💿 Loaded           block_norm_0   1,            8 kB
💿 Loaded           block_norm_1   1,            8 kB
💿 Loaded         block_matmul_q   2,         1152 kB
💿 Loaded         block_matmul_k   2,          288 kB
💿 Loaded         block_matmul_v   2,          288 kB
💿 Loaded        block_matmul_wo   2,         1152 kB
💿 Loaded        block_matmul_w1   2,         4608 kB
💿 Loaded        block_matmul_w2   2,         4608 kB
💿 Loaded        block_matmul_w3   2,         4608 kB
💿 Loaded           block_norm_0   2,            8 kB
💿 Loaded           block_norm_1   2,            8 kB
💿 Loaded         block_matmul_q   3,         1152 kB
💿 Loaded         block_matmul_k   3,          288 kB
💿 Loaded         block_matmul_v   3,          288 kB
💿 Loaded        block_matmul_wo   3,         1152 kB
💿 Loaded        block_matmul_w1   3,         4608 kB
💿 Loaded        block_matmul_w2   3,         4608 kB
💿 Loaded        block_matmul_w3   3,         4608 kB
💿 Loaded           block_norm_0   3,            8 kB
💿 Loaded           block_norm_1   3,            8 kB
💿 Loaded         block_matmul_q   4,         1152 kB
💿 Loaded         block_matmul_k   4,          288 kB
💿 Loaded         block_matmul_v   4,          288 kB
💿 Loaded        block_matmul_wo   4,         1152 kB
💿 Loaded        block_matmul_w1   4,         4608 kB
💿 Loaded        block_matmul_w2   4,         4608 kB
💿 Loaded        block_matmul_w3   4,         4608 kB
💿 Loaded           block_norm_0   4,            8 kB
💿 Loaded           block_norm_1   4,            8 kB
💿 Loaded         block_matmul_q   5,         1152 kB
💿 Loaded         block_matmul_k   5,          288 kB
💿 Loaded         block_matmul_v   5,          288 kB
💿 Loaded        block_matmul_wo   5,         1152 kB
